,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
434,DAL1318,7R,KPHX,02/18/2017 22:40:00,B712,17,2,G5,818.37,,
435,SWA5311,8,KPHX,02/18/2017 21:15:00,B737,D6,11,B8,916.0,,
436,SWA4994,7R,KPHX,02/18/2017 22:50:00,B737,C11,12,G8,843.48,,
437,SWA2006,8,KPHX,02/18/2017 22:15:00,B737,C8,12,B8,1507.81,,
438,SWA5748,8,KPHX,02/18/2017 21:30:00,B737,C17,12,B8,954.82,,
439,SWA2657,8,KPHX,02/18/2017 22:00:00,B737,D5,10,B8,918.57,,
440,SWA3245,7R,KPHX,02/18/2017 22:15:00,B738,C3,11,G8,738.75,,
441,SWA2629,8,KPHX,02/18/2017 22:30:00,B738,C7,11,B8,871.31,,
442,AAL644,7R,KPHX,02/18/2017 21:37:00,A319,B2,5,G7,920.58,,
443,SWA5598,8,KPHX,02/18/2017 22:20:00,B737,C6,12,B8,1074.92,,
444,SWA5401,7R,KPHX,02/18/2017 22:30:00,B737,D7,10,G5,762.94,,
445,UAL507,8,KPHX,02/18/2017 22:18:00,B738,3,9,B8,1013.7,,
446,SWA2303,7R,KPHX,02/18/2017 23:00:00,B737,C9,11,G8,784.15,,
447,SKW2898,7R,KPHX,02/18/2017 23:07:00,CRJ7,B3,6,G5,379.68,,
448,ASA172,8,KPHX,02/18/2017 18:45:00,B738,10,9,B8,987.81,,
449,SWA5423,7R,KPHX,02/18/2017 22:55:00,B737,C18,13,G8,853.72,,
450,SWA2391,8,KPHX,02/18/2017 19:40:00,B738,D3,10,B8,895.61,,
451,SKW3050,8,KPHX,02/18/2017 22:30:00,CRJ7,B15A,7,B11,261.44,,
452,SWA1064,8,KPHX,02/18/2017 22:35:00,B737,D2,11,B8,1371.68,,
453,DAL2887,8,KPHX,02/18/2017 20:55:00,A320,19,2,B7,282.84,,
454,SWA5684,8,KPHX,02/18/2017 20:00:00,B737,C16,13,B8,1079.9,,
