,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
279,DAL2034,26R,KATL,02/17/2017 20:54:00,MD90,B11,14,9,787.61,,
280,DAL2372,27L,KATL,02/17/2017 20:55:00,A321,A02,12,59,616.65,,
281,ASQ5323,27L,KATL,02/17/2017 21:20:00,CRJ2,C41,4,60,314.46,,
282,DAL338,27L,KATL,02/17/2017 21:25:00,B712,C50,3,61,919.26,,
283,DAL321,26R,KATL,02/17/2017 20:45:00,MD90,C46,3,9,630.77,,
284,AAL787,26R,KATL,02/17/2017 21:10:00,A320,D21,11,9,517.77,,
285,DAL24,27L,KATL,02/17/2017 20:50:00,B739,A34,1,59,1197.26,,
286,AAL232,26R,KATL,02/17/2017 20:25:00,A321,T10,7,8,840.66,,
287,ASQ5295,27L,KATL,02/17/2017 21:30:00,CRJ2,D12,10,60,252.02,,
288,DAL2364,26R,KATL,02/17/2017 20:36:00,B739,A31,2,8,618.71,,
289,DAL1826,27L,KATL,02/17/2017 20:55:00,A321,A19,8,59,588.25,,
290,ASQ5347,26R,KATL,02/17/2017 20:15:00,CRJ2,D29,5,9,224.71,,
291,ASA746,26R,KATL,02/17/2017 17:55:00,B739,D3,16,9,636.22,,
292,DAL2832,26R,KATL,02/17/2017 19:50:00,MD90,D16,10,9,599.31,,
293,DAL2017,26R,KATL,02/17/2017 20:45:00,MD88,B26,2,8,1028.5,,
294,DAL2052,27L,KATL,02/17/2017 21:55:00,MD88,B16,8,59,566.93,,
295,DAL1861,28,KATL,02/17/2017 21:30:00,MD90,B05,14,72,1249.2,,
296,AAL2247,26R,KATL,02/17/2017 21:00:00,B738,T11,7,8,777.43,,
297,ASQ5208,27L,KATL,02/17/2017 19:43:00,CRJ2,D30,4,60,303.81,,
298,DAL1178,27L,KATL,02/17/2017 21:25:00,MD88,T04,12,59,614.77,,
299,DAL827,26R,KATL,02/17/2017 20:14:00,B712,D10,15,9,757.73,,
300,ASQ5207,27L,KATL,02/17/2017 20:30:00,CRJ9,D06,15,59,250.36,,
301,DAL43,27L,KATL,02/17/2017 20:45:00,MD88,B36,2,59,677.23,,
302,DAL1626,28,KATL,02/17/2017 22:10:00,MD88,B12,8,73,1294.16,,
303,DAL1942,27L,KATL,02/17/2017 20:46:00,B712,D09,16,59,728.46,,
304,ASQ5400,26R,KATL,02/17/2017 21:57:00,CRJ2,D34,4,9,236.37,,
305,SKW5758,26R,KATL,02/17/2017 21:18:00,E75L,T14,1,8,328.1,,
306,DAL1736,26R,KATL,02/17/2017 21:38:00,MD90,T08,7,8,814.02,,
307,ASQ5396,27L,KATL,02/17/2017 21:55:00,CRJ2,D39,5,61,294.8,,
308,DAL1381,26R,KATL,02/17/2017 19:55:00,A320,A01,13,8,796.9,,
