,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
105,UAL732,16L,KDEN,02/18/2017 15:30:00,A320,B52,10,21,1418.52,,
106,FFT552,16R,KDEN,02/18/2017 14:20:00,A319,A42,15,9,1501.91,,
107,NKS562,16L,KDEN,02/18/2017 15:55:00,A320,A52,15,21,2373.58,,
108,UAL744,16L,KDEN,02/18/2017 13:57:00,A320,B37,5,21,977.29,,
109,UAL545,16R,KDEN,02/18/2017 15:45:00,B739,B20,9,8,1348.75,,
110,CPZ5701,16L,KDEN,02/18/2017 15:52:00,E75S,A30,14,23,515.46,,
111,SKW5224,16R,KDEN,02/18/2017 15:55:00,CRJ2,B82,11,8,626.53,,
112,AAL1025,16R,KDEN,02/18/2017 16:38:00,B738,A53,13,8,1580.89,,
113,NKS939,16L,KDEN,02/18/2017 16:23:00,A320,A52,15,21,1966.23,,
114,AAL2300,16R,KDEN,02/18/2017 16:05:00,B738,A48,15,5,1897.21,,
115,UAL806,16L,KDEN,02/18/2017 16:55:00,A319,B16,9,23,1002.51,,
116,SWA1614,16L,KDEN,02/18/2017 17:00:00,B737,C25,1,26,813.7,,
117,SKW5266,16L,KDEN,02/18/2017 18:24:00,CRJ2,B57,7,23,639.33,,
118,UAL140,16L,KDEN,02/18/2017 17:25:00,A319,B43,6,21,1772.07,,
119,CPZ6005,16R,KDEN,02/18/2017 17:45:00,E75L,A50,15,8,683.94,,
120,FFT681,16L,KDEN,02/18/2017 16:05:00,A321,A36,14,21,1466.9,,
121,AAL1272,16L,KDEN,02/18/2017 18:00:00,MD83,A48,15,21,2312.13,,
122,UAL1223,16L,KDEN,02/18/2017 17:20:00,A320,B39,6,21,1964.79,,
123,SWA4035,16R,KDEN,02/18/2017 19:25:00,B733,C33,1,6,1178.35,,
124,SKW831T,16R,KDEN,02/18/2017 21:00:00,CRJ7,B60,10,8,617.38,,
125,FFT774,16R,KDEN,02/18/2017 20:30:00,A319,A34,14,5,1689.08,,
126,SWA2438,16L,KDEN,02/18/2017 19:50:00,B737,C36,3,21,1059.99,,
127,FFT723,16L,KDEN,02/18/2017 18:20:00,A320,A32,14,23,1197.58,,
128,SWA5517,16R,KDEN,02/18/2017 20:25:00,B737,C43,2,5,1363.83,,
129,FFT264,16R,KDEN,02/18/2017 20:15:00,A320,A46,15,12,1314.64,,
130,UAL2014,16R,KDEN,02/18/2017 21:10:00,B772,B38,10,5,2221.26,,
131,SKW5311,16R,KDEN,02/18/2017 21:22:00,E75L,B60,10,8,537.31,,
132,SKW5636,16L,KDEN,02/18/2017 21:35:00,CRJ2,B94,11,23,718.27,,
133,SKW5514,16R,KDEN,02/18/2017 21:22:00,CRJ2,B83,8,5,726.52,,
134,SKW5476,16R,KDEN,02/18/2017 21:30:00,CRJ2,B91,8,5,800.87,,
135,SWA1206,16R,KDEN,02/18/2017 21:55:00,B737,C42,4,5,1985.95,,
136,SWA60,16R,KDEN,02/18/2017 22:20:00,B737,C26,3,5,1216.98,,
137,UAL542,16L,KDEN,02/18/2017 21:11:00,B739,B28,9,21,1318.41,,
138,SKW5428,16R,KDEN,02/18/2017 22:35:00,E75L,B67,7,6,633.98,,
139,SKW5294,16R,KDEN,02/18/2017 22:45:00,E75L,B54,10,8,866.35,,
140,UAL255,16L,KDEN,02/18/2017 22:05:00,A320,B21,5,21,1060.55,,
141,SKW5212,16L,KDEN,02/18/2017 22:45:00,CRJ2,B95,11,23,679.09,,
142,NKS975,16R,KDEN,02/18/2017 22:20:00,A320,A52,15,5,2141.88,,
143,SWA5778,17R,KDEN,02/18/2017 23:30:00,B737,C25,1,51,2013.41,,
144,SWA2140,16L,KDEN,02/18/2017 22:05:00,B737,C33,1,21,1579.2,,
145,SWA5163,16L,KDEN,02/18/2017 23:00:00,B738,C37,1,26,723.98,,
146,FFT719,16L,KDEN,02/18/2017 22:00:00,A320,A34,14,21,1569.25,,
147,FFT572,16R,KDEN,02/19/2017 00:41:00,A320,A40,15,8,1640.83,,
148,AAL81,16L,KDEN,02/19/2017 01:11:00,A321,A47,13,26,1270.9,,
149,AAL651,16L,KDEN,02/18/2017 23:29:00,A321,A50,15,21,2273.53,,
150,SWA4511,16L,KDEN,02/18/2017 23:05:00,B738,C28,3,21,1077.72,,
151,SWA5814,16R,KDEN,02/19/2017 01:35:00,B737,C27,1,6,1177.97,,
152,DAL996,16L,KDEN,02/19/2017 00:58:00,MD90,A29,12,21,1345.14,,
153,SWA816,16L,KDEN,02/19/2017 00:15:00,B737,C24,3,23,766.55,,
154,FFT801,16L,KDEN,02/19/2017 01:15:00,A319,A34,14,26,1227.77,,
155,AAL1494,16R,KDEN,02/19/2017 02:55:00,B738,A45,13,5,1651.95,,
156,CPZ6028,16R,KDEN,02/19/2017 02:25:00,E75L,A43,13,8,627.86,,
157,AAL2292,16L,KDEN,02/19/2017 02:45:00,A321,A50,15,21,2376.72,,
158,FFT756,16L,KDEN,02/19/2017 03:05:00,A320,A37,12,26,832.64,,
159,NKS355,16L,KDEN,02/19/2017 01:10:00,A321,A52,15,21,2306.86,,
160,SWA2406,16L,KDEN,02/19/2017 03:10:00,B737,C23,1,26,732.27,,
161,AAL1532,16L,KDEN,02/19/2017 00:59:00,B738,A51,13,21,2083.65,,
162,SWA5278,16L,KDEN,02/19/2017 03:15:00,B737,C29,1,26,769.57,,
163,DAL2500,16L,KDEN,02/19/2017 03:08:00,B752,A29,12,21,1373.37,,
164,NKS853,16R,KDEN,02/19/2017 04:05:00,A319,A60,16,9,1365.9,,
165,FFT423,16L,KDEN,02/19/2017 03:15:00,A320,A39,12,21,1498.69,,
166,AAL1384,16L,KDEN,02/19/2017 05:54:00,B738,A53,13,21,1630.47,,
167,JBU993,16L,KDEN,02/19/2017 00:33:00,A320,A33,12,21,1310.19,,
168,UAL1963,16L,KDEN,02/19/2017 03:55:00,B739,B39,6,26,1021.96,,
169,AAL446,16L,KDEN,02/19/2017 04:05:00,A321,A33,12,26,1066.93,,
170,SKW5036,35L,KDEN,02/19/2017 12:50:00,CRJ2,B90,11,48,169.64,,
